date,expiry,type,strike,open_interest
2026-06-01,2026-06-12,P,64500,3057
2026-06-01,2026-06-12,C,65000,5067
2026-06-01,2026-06-12,P,65000,3773
2026-06-01,2026-06-12,C,65500,6052
2026-06-01,2026-06-12,P,65500,3000
2026-06-01,2026-06-12,C,66000,6750
2026-06-01,2026-06-12,P,66000,3931
2026-06-01,2026-06-12,C,66500,6711
2026-06-01,2026-06-12,P,66500,3394
2026-06-01,2026-06-12,C,67000,7042
2026-06-01,2026-06-12,P,67000,3864
2026-06-01,2026-06-12,C,67500,7454
2026-06-01,2026-06-12,P,67500,3297
2026-06-02,2026-06-12,C,59500,2978
2026-06-02,2026-06-12,P,59500,5179
2026-06-02,2026-06-12,C,60000,3099
2026-06-02,2026-06-12,P,60000,5134
2026-06-02,2026-06-12,C,60500,3390
2026-06-02,2026-06-12,P,60500,4882
2026-06-02,2026-06-12,C,61000,3221
2026-06-02,2026-06-12,P,61000,3769
2026-06-02,2026-06-12,C,61500,2546
2026-06-02,2026-06-12,P,61500,3665
2026-06-02,2026-06-12,C,62000,3557
2026-06-02,2026-06-12,P,62000,3991
2026-06-02,2026-06-12,C,62500,3306
2026-06-02,2026-06-12,P,62500,3501
2026-06-02,2026-06-12,C,63000,4182
2026-06-02,2026-06-12,P,63000,3446
2026-06-02,2026-06-12,C,63500,4442
2026-06-02,2026-06-12,P,63500,3340
2026-06-02,2026-06-12,C,64000,4928
2026-06-02,2026-06-12,P,64000,3486
2026-06-02,2026-06-12,C,64500,5389
2026-06-02,2026-06-12,P,64500,3362
2026-06-02,2026-06-12,C,65000,5810
2026-06-02,2026-06-12,P,65000,3249
2026-06-02,2026-06-12,C,65500,5500
2026-06-02,2026-06-12,P,65500,3564
2026-06-02,2026-06-12,C,66000,6892
2026-06-02,2026-06-12,P,66000,3523
2026-06-02,2026-06-12,C,66500,7383
2026-06-02,2026-06-12,P,66500,3658
2026-06-02,2026-06-12,C,67000,7012
2026-06-02,2026-06-12,P,67000,3024
2026-06-02,2026-06-12,C,67500,7197
2026-06-02,2026-06-12,P,67500,3328
2026-06-03,2026-06-12,C,59500,3284
2026-06-03,2026-06-12,P,59500,5518
2026-06-03,2026-06-12,C,60000,3264
2026-06-03,2026-06-12,P,60000,4582
2026-06-03,2026-06-12,C,60500,2546
2026-06-03,2026-06-12,P,60500,5046
2026-06-03,2026-06-12,C,61000,3175
2026-06-03,2026-06-12,P,61000,4541
2026-06-03,2026-06-12,C,61500,3059
2026-06-03,2026-06-12,P,61500,3426
2026-06-03,2026-06-12,C,62000,2552
2026-06-03,2026-06-12,P,62000,3902
2026-06-03,2026-06-12,C,62500,4038
2026-06-03,2026-06-12,P,62500,3307
2026-06-03,2026-06-12,C,63000,3935
2026-06-03,2026-06-12,P,63000,3714
2026-06-03,2026-06-12,C,63500,4162
2026-06-03,2026-06-12,P,63500,3178
2026-06-03,2026-06-12,C,64000,4306
2026-06-03,2026-06-12,P,64000,3429
2026-06-03,2026-06-12,C,64500,4846
2026-06-03,2026-06-12,P,64500,3935
2026-06-03,2026-06-12,C,65000,5282
2026-06-03,2026-06-12,P,65000,3222
2026-06-03,2026-06-12,C,65500,6462
2026-06-03,2026-06-12,P,65500,3754
2026-06-03,2026-06-12,C,66000,6413
2026-06-03,2026-06-12,P,66000,3608
2026-06-03,2026-06-12,C,66500,6597
2026-06-03,2026-06-12,P,66500,3112
2026-06-03,2026-06-12,C,67000,7732
2026-06-03,2026-06-12,P,67000,3634
2026-06-03,2026-06-12,C,67500,7325
2026-06-03,2026-06-12,P,67500,3995
2026-06-04,2026-06-12,C,59500,2884
2026-06-04,2026-06-12,P,59500,4895
2026-06-04,2026-06-12,C,60000,3248
2026-06-04,2026-06-12,P,60000,5184
2026-06-04,2026-06-12,C,60500,3174
2026-06-04,2026-06-12,P,60500,4112
2026-06-04,2026-06-12,C,61000,3389
2026-06-04,2026-06-12,P,61000,4637
2026-06-04,2026-06-12,C,61500,2852
2026-06-04,2026-06-12,P,61500,3715
2026-06-04,2026-06-12,C,62000,3460
2026-06-04,2026-06-12,P,62000,3211
2026-06-04,2026-06-12,C,62500,3412
2026-06-04,2026-06-12,P,62500,3763
2026-06-04,2026-06-12,C,63000,3849
2026-06-04,2026-06-12,P,63000,3297
2026-06-04,2026-06-12,C,63500,4703
2026-06-04,2026-06-12,P,63500,3689
2026-06-04,2026-06-12,C,64000,4930
2026-06-04,2026-06-12,P,64000,3133
2026-06-04,2026-06-12,C,64500,5328
2026-06-04,2026-06-12,P,64500,3135
2026-06-04,2026-06-12,C,65000,5667
2026-06-04,2026-06-12,P,65000,3912
2026-06-04,2026-06-12,C,65500,6184
2026-06-04,2026-06-12,P,65500,3964
2026-06-04,2026-06-12,C,66000,6170
2026-06-04,2026-06-12,P,66000,3909
2026-06-04,2026-06-12,C,66500,7170
2026-06-04,2026-06-12,P,66500,3004
2026-06-04,2026-06-12,C,67000,6880
2026-06-04,2026-06-12,P,67000,3211
2026-06-04,2026-06-12,C,67500,8049
2026-06-04,2026-06-12,P,67500,3806
2026-06-05,2026-06-12,C,59500,3290
2026-06-05,2026-06-12,P,59500,5683
2026-06-05,2026-06-12,C,60000,2982
2026-06-05,2026-06-12,P,60000,4512
2026-06-05,2026-06-12,C,60500,3618
2026-06-05,2026-06-12,P,60500,4190
2026-06-05,2026-06-12,C,61000,3148
2026-06-05,2026-06-12,P,61000,4041
2026-06-05,2026-06-12,C,61500,3622
2026-06-05,2026-06-12,P,61500,3631
2026-06-05,2026-06-12,C,62000,3503
2026-06-05,2026-06-12,P,62000,3685
2026-06-05,2026-06-12,C,62500,4032
2026-06-05,2026-06-12,P,62500,3362
2026-06-05,2026-06-12,C,63000,3494
2026-06-05,2026-06-12,P,63000,3963
2026-06-05,2026-06-12,C,63500,4308
2026-06-05,2026-06-12,P,63500,3493
2026-06-05,2026-06-12,C,64000,4839
2026-06-05,2026-06-12,P,64000,3065
2026-06-05,2026-06-12,C,64500,4626
2026-06-05,2026-06-12,P,64500,3937
2026-06-05,2026-06-12,C,65000,6020
2026-06-05,2026-06-12,P,65000,3009
2026-06-05,2026-06-12,C,65500,6320
2026-06-05,2026-06-12,P,65500,3829
2026-06-05,2026-06-12,C,66000,6579
2026-06-05,2026-06-12,P,66000,3364
2026-06-05,2026-06-12,C,66500,7419
2026-06-05,2026-06-12,P,66500,3202
2026-06-05,2026-06-12,C,67000,7537
2026-06-05,2026-06-12,P,67000,3119
2026-06-05,2026-06-12,C,67500,7869
2026-06-05,2026-06-12,P,67500,3460
2026-06-08,2026-06-12,C,59500,3219
2026-06-08,2026-06-12,P,59500,4826
2026-06-08,2026-06-12,C,60000,3434
2026-06-08,2026-06-12,P,60000,4729
2026-06-08,2026-06-12,C,60500,2879
2026-06-08,2026-06-12,P,60500,4550
2026-06-08,2026-06-12,C,61000,3632
2026-06-08,2026-06-12,P,61000,4115
2026-06-08,2026-06-12,C,61500,2819
2026-06-08,2026-06-12,P,61500,4256
2026-06-08,2026-06-12,C,62000,2888
2026-06-08,2026-06-12,P,62000,3347
2026-06-08,2026-06-12,C,62500,4093
2026-06-08,2026-06-12,P,62500,3492
2026-06-08,2026-06-12,C,63000,3352
2026-06-08,2026-06-12,P,63000,3000
2026-06-08,2026-06-12,C,63500,4730
2026-06-08,2026-06-12,P,63500,3605
2026-06-08,2026-06-12,C,64000,4984
2026-06-08,2026-06-12,P,64000,3682
2026-06-08,2026-06-12,C,64500,5236
2026-06-08,2026-06-12,P,64500,3265
2026-06-08,2026-06-12,C,65000,6189
2026-06-08,2026-06-12,P,65000,3815
2026-06-08,2026-06-12,C,65500,6079
2026-06-08,2026-06-12,P,65500,3919
2026-06-08,2026-06-12,C,66000,6225
2026-06-08,2026-06-12,P,66000,3893
2026-06-08,2026-06-12,C,66500,6926
2026-06-08,2026-06-12,P,66500,3090
2026-06-08,2026-06-12,C,67000,7415
2026-06-08,2026-06-12,P,67000,3202
2026-06-08,2026-06-12,C,67500,7843
2026-06-08,2026-06-12,P,67500,3992
2026-06-09,2026-06-12,C,59500,2976
2026-06-09,2026-06-12,P,59500,5449
2026-06-09,2026-06-12,C,60000,2915
2026-06-09,2026-06-12,P,60000,5117
2026-06-09,2026-06-12,C,60500,3016
2026-06-09,2026-06-12,P,60500,4100
2026-06-09,2026-06-12,C,61000,3269
2026-06-09,2026-06-12,P,61000,3804
2026-06-09,2026-06-12,C,61500,3161
2026-06-09,2026-06-12,P,61500,3536
2026-06-09,2026-06-12,C,62000,3520
2026-06-09,2026-06-12,P,62000,3436
2026-06-09,2026-06-12,C,62500,3498
2026-06-09,2026-06-12,P,62500,3469
2026-06-09,2026-06-12,C,63000,3754
2026-06-09,2026-06-12,P,63000,3039
2026-06-09,2026-06-12,C,63500,4431
2026-06-09,2026-06-12,P,63500,3608
2026-06-09,2026-06-12,C,64000,5341
2026-06-09,2026-06-12,P,64000,3715
2026-06-09,2026-06-12,C,64500,4678
2026-06-09,2026-06-12,P,64500,3226
2026-06-09,2026-06-12,C,65000,5067
2026-06-09,2026-06-12,P,65000,3724
2026-06-09,2026-06-12,C,65500,5584
2026-06-09,2026-06-12,P,65500,3787
2026-06-09,2026-06-12,C,66000,6500
2026-06-09,2026-06-12,P,66000,3316
2026-06-09,2026-06-12,C,66500,7070
2026-06-09,2026-06-12,P,66500,3613
2026-06-09,2026-06-12,C,67000,7103
2026-06-09,2026-06-12,P,67000,3371
2026-06-09,2026-06-12,C,67500,7384
2026-06-09,2026-06-12,P,67500,3493
2026-06-10,2026-06-12,C,59500,3146
2026-06-10,2026-06-12,P,59500,5240
2026-06-10,2026-06-12,C,60000,2983
2026-06-10,2026-06-12,P,60000,4745
2026-06-10,2026-06-12,C,60500,3353
2026-06-10,2026-06-12,P,60500,4586
2026-06-10,2026-06-12,C,61000,3112
2026-06-10,2026-06-12,P,61000,3983
2026-06-10,2026-06-12,C,61500,3356
2026-06-10,2026-06-12,P,61500,3938
2026-06-10,2026-06-12,C,62000,3504
2026-06-10,2026-06-12,P,62000,3347
2026-06-10,2026-06-12,C,62500,3348
2026-06-10,2026-06-12,P,62500,3843
2026-06-10,2026-06-12,C,63000,4521
2026-06-10,2026-06-12,P,63000,3081
2026-06-10,2026-06-12,C,63500,3827
2026-06-10,2026-06-12,P,63500,3123
2026-06-10,2026-06-12,C,64000,4924
2026-06-10,2026-06-12,P,64000,3433
2026-06-10,2026-06-12,C,64500,4632
2026-06-10,2026-06-12,P,64500,3760
2026-06-10,2026-06-12,C,65000,5653
2026-06-10,2026-06-12,P,65000,3606
2026-06-10,2026-06-12,C,65500,6249
2026-06-10,2026-06-12,P,65500,3945
2026-06-10,2026-06-12,C,66000,6171
2026-06-10,2026-06-12,P,66000,3565
2026-06-10,2026-06-12,C,66500,7196
2026-06-10,2026-06-12,P,66500,3529
2026-06-10,2026-06-12,C,67000,7874
2026-06-10,2026-06-12,P,67000,3156
2026-06-10,2026-06-12,C,67500,7752
2026-06-10,2026-06-12,P,67500,3971
2026-06-11,2026-06-12,C,59500,2685
2026-06-11,2026-06-12,P,59500,5729
2026-06-11,2026-06-12,C,60000,2997
2026-06-11,2026-06-12,P,60000,4848
2026-06-11,2026-06-12,C,60500,2728
2026-06-11,2026-06-12,P,60500,4975
2026-06-11,2026-06-12,C,61000,2760
2026-06-11,2026-06-12,P,61000,3906
2026-06-11,2026-06-12,C,61500,2621
2026-06-11,2026-06-12,P,61500,3964
2026-06-11,2026-06-12,C,62000,2876
2026-06-11,2026-06-12,P,62000,3940
2026-06-11,2026-06-12,C,62500,4025
2026-06-11,2026-06-12,P,62500,3239
2026-06-11,2026-06-12,C,63000,3789
2026-06-11,2026-06-12,P,63000,3455
2026-06-11,2026-06-12,C,63500,3863
2026-06-11,2026-06-12,P,63500,3772
2026-06-11,2026-06-12,C,64000,5177
2026-06-11,2026-06-12,P,64000,3716
2026-06-11,2026-06-12,C,64500,4773
2026-06-11,2026-06-12,P,64500,3350
2026-06-11,2026-06-12,C,65000,5169
2026-06-11,2026-06-12,P,65000,3119
2026-06-11,2026-06-12,C,65500,5492
2026-06-11,2026-06-12,P,65500,3165
2026-06-11,2026-06-12,C,66000,6914
2026-06-11,2026-06-12,P,66000,3213
2026-06-11,2026-06-12,C,66500,7058
2026-06-11,2026-06-12,P,66500,3700
2026-06-11,2026-06-12,C,67000,7314
2026-06-11,2026-06-12,P,67000,3103
2026-06-11,2026-06-12,C,67500,7194
2026-06-11,2026-06-12,P,67500,3336
2026-06-12,2026-06-12,C,59500,3405
2026-06-12,2026-06-12,P,59500,5266
2026-06-12,2026-06-12,C,60000,3168
2026-06-12,2026-06-12,P,60000,4633
2026-06-12,2026-06-12,C,60500,2542
2026-06-12,2026-06-12,P,60500,4255
2026-06-12,2026-06-12,C,61000,3510
2026-06-12,2026-06-12,P,61000,4035
2026-06-12,2026-06-12,C,61500,2899
2026-06-12,2026-06-12,P,61500,3495
2026-06-12,2026-06-12,C,62000,2858
2026-06-12,2026-06-12,P,62000,3659
2026-06-12,2026-06-12,C,62500,4097
2026-06-12,2026-06-12,P,62500,3208
2026-06-12,2026-06-12,C,63000,3796
2026-06-12,2026-06-12,P,63000,3523
2026-06-12,2026-06-12,C,63500,4709
2026-06-12,2026-06-12,P,63500,3076
2026-06-12,2026-06-12,C,64000,4278
2026-06-12,2026-06-12,P,64000,3681
2026-06-12,2026-06-12,C,64500,5616
2026-06-12,2026-06-12,P,64500,3628
2026-06-12,2026-06-12,C,65000,5032
2026-06-12,2026-06-12,P,65000,3413
2026-06-12,2026-06-12,C,65500,6070
2026-06-12,2026-06-12,P,65500,3787
2026-06-12,2026-06-12,C,66000,6101
2026-06-12,2026-06-12,P,66000,3908
2026-06-12,2026-06-12,C,66500,6464
2026-06-12,2026-06-12,P,66500,3213
2026-06-12,2026-06-12,C,67000,6740
2026-06-12,2026-06-12,P,67000,3091
2026-06-12,2026-06-12,C,67500,7520
2026-06-12,2026-06-12,P,67500,3833
